NODE	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	thm	RandomSystems.SumOfPermutationsTight	769	REPO	∃ ε, (∀ (H : Type u) [inst : Fintype H] [inst_1 : DecidableEq H] [inst_2 : Nonempty H] [inst_3 : AddCommGroup H] (q : ℕ), RandomSystems.CR18.maxAdvantage (RandomSystems.CR18.PFunPDS.filterQueries q RandomSystems.CR18.SoPTight.sopReal) (RandomSystems.CR18.PFunPDS.filterQueries q RandomSystems.CR18.SoPTight.sopIdeal) ≤ ε (Fintype.card H) q) ∧ ∀ (N q : ℕ), 1 < q → q < N → ε N q < ↑q ^ 2 / ↑N…
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Exists.intro
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Nat
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	And
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Fintype
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	DecidableEq
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Nonempty
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	AddCommGroup
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	LE.le
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real.instLE
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	RandomSystems.CR18.maxAdvantage
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	RandomSystems.CR18.PFunPDS.filterQueries
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	RandomSystems.CR18.SoPTight.sopReal
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	RandomSystems.CR18.SoPTight.sopIdeal
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Fintype.card
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	LT.lt
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	instLTNat
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	OfNat.ofNat
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	instOfNatNat
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real.instLT
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	HDiv.hDiv
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	instHDiv
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	DivInvMonoid.toDiv
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real.instDivInvMonoid
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	HPow.hPow
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	instHPow
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Monoid.toPow
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real.instMonoid
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Nat.cast
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Real.instNatCast
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	RandomSystems.CR18.SoPTight.sopEps
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	And.intro
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Trans.trans
VDEP	RandomSystems.CR18.SoPTight.sop_randomness_expander_tight	Eq
